irrep,M1,Y,N2,N1,M2,row,n,m,col,val
1,1,1,1,1,1,1,1,1,1,0.10060610757927584 + 0.025843056301982185im
1,1,1,1,1,1,2,1,1,1,-0.2529083723527981 - 4.489865890972974e-15im
1,1,1,1,1,2,1,1,1,1,0.1671745320320708 - 0.02584305630198075im
1,1,1,1,1,2,2,1,1,1,0.21313356038830425 - 0.008382006751488109im
1,1,1,1,1,3,1,1,1,1,-0.26778063961134624 - 1.6765455858945328e-15im
1,1,1,1,1,3,2,1,1,1,0.03977481196449347 + 0.008382006751493089im
1,1,1,1,2,1,1,1,1,1,0.33333333333333376 + 3.91628369662445e-15im
1,1,1,1,3,2,1,1,1,1,-0.3333333333333335 + 2.914760300174759e-15im
1,1,1,1,4,3,1,1,1,1,-0.3333333333333333 - 1.924934520813855e-15im
1,1,1,2,1,1,1,1,1,1,0.16717453203207072 - 0.025843056301980735im
1,1,1,2,1,1,2,1,1,1,0.21313356038830436 - 0.008382006751488204im
1,1,1,2,1,2,1,1,1,1,0.2677806396113464 - 0.0im
1,1,1,2,1,2,2,1,1,1,-0.03977481196449347 - 0.008382006751492893im
1,1,1,2,1,3,1,1,1,1,0.10060610757927545 + 0.02584305630198245im
1,1,1,2,1,3,2,1,1,1,-0.2529083723527974 - 5.297566633264408e-15im
1,1,1,2,2,1,1,1,1,1,0.3333333333333332 + 4.830083225836821e-15im
1,1,1,2,3,2,1,1,1,1,0.3333333333333335 - 4.7904625303798125e-15im
1,1,1,2,4,3,1,1,1,1,-0.3333333333333331 - 2.3819333638847706e-15im
1,1,1,3,1,1,1,1,1,1,-0.26778063961134624 - 1.6046936322133384e-15im
1,1,1,3,1,1,2,1,1,1,0.03977481196449342 + 0.008382006751493169im
1,1,1,3,1,2,1,1,1,1,0.10060610757927561 + 0.02584305630198241im
1,1,1,3,1,2,2,1,1,1,-0.2529083723527974 - 5.226298920709281e-15im
1,1,1,3,1,3,1,1,1,1,-0.16717453203207083 + 0.025843056301979313im
1,1,1,3,1,3,2,1,1,1,-0.21313356038830417 + 0.008382006751486197im
1,1,1,3,2,1,1,1,1,1,0.3333333333333331 + 4.790920388870577e-15im
1,1,1,3,3,2,1,1,1,1,-0.33333333333333315 + 2.5099324807060424e-15im
1,1,1,3,4,3,1,1,1,1,0.33333333333333326 + 4.9854419244099846e-15im
1,1,2,1,1,1,1,1,1,1,0.16717453203207067 - 0.025843056301980652im
1,1,2,1,1,1,2,1,1,1,0.2131335603883041 - 0.00838200675148799im
1,1,2,1,1,2,1,1,1,1,0.2677806396113463 + 1.1975325613532376e-16im
1,1,2,1,1,2,2,1,1,1,-0.03977481196449347 - 0.008382006751493013im
1,1,2,1,1,3,1,1,1,1,0.10060610757927546 + 0.025843056301982466im
1,1,2,1,1,3,2,1,1,1,-0.2529083723527973 - 5.3925902500045765e-15im
1,1,2,1,2,2,1,1,1,1,0.3333333333333333 + 4.621214762016851e-15im
1,1,2,1,3,3,1,1,1,1,-0.3333333333333332 + 2.523426741355e-15im
1,1,2,1,4,1,1,1,1,1,-0.3333333333333334 - 2.139585492559285e-15im
1,1,2,2,1,1,1,1,1,1,0.26778063961134635 + 9.580260490825901e-17im
1,1,2,2,1,1,2,1,1,1,-0.039774811964493534 - 0.008382006751492914im
1,1,2,2,1,2,1,1,1,1,-0.10060610757927639 - 0.02584305630198042im
1,1,2,2,1,2,2,1,1,1,0.2529083723527982 + 0.0im
1,1,2,2,1,3,1,1,1,1,-0.1671745320320706 + 0.025843056301981696im
1,1,2,2,1,3,2,1,1,1,-0.21313356038830428 + 0.008382006751489238im
1,1,2,2,2,2,1,1,1,1,0.33333333333333387 + 0.0im
1,1,2,2,3,3,1,1,1,1,0.33333333333333354 - 4.709496966486069e-15im
1,1,2,2,4,1,1,1,1,1,0.3333333333333334 + 1.7310562237534668e-16im
1,1,2,3,1,1,1,1,1,1,0.10060610757927554 + 0.025843056301982515im
