irrep,M1,Y,N2,N1,M2,row,n,m,col,val
1,1,1,1,1,1,1,1,1,1,1.0 + 0.0im
1,1,2,2,1,2,1,1,1,1,1.0 + 0.0im
1,1,3,3,1,3,1,1,1,1,1.0 + 0.0im
1,1,4,4,1,4,1,1,1,1,1.0 + 0.0im
1,2,1,2,2,2,1,1,1,1,1.0 + 0.0im
1,2,2,3,2,3,1,1,1,1,1.0 + 0.0im
1,2,3,1,2,1,1,1,1,1,1.0 + 0.0im
1,2,4,4,2,4,1,1,1,1,0.9999999999999997 + 0.0im
1,3,1,3,3,3,1,1,1,1,1.0 + 0.0im
1,3,2,1,3,1,1,1,1,1,1.0 + 0.0im
1,3,3,2,3,2,1,1,1,1,1.0 + 0.0im
1,3,4,4,3,4,1,1,1,1,0.9999999999999999 + 0.0im
1,4,1,4,4,4,1,1,1,1,1.0 + 0.0im
1,4,2,4,4,4,1,1,1,1,0.9999999999999997 + 0.0im
1,4,3,4,4,4,1,1,1,1,0.9999999999999999 + 0.0im
1,4,4,1,4,1,1,1,1,1,0.9999999999999998 + 0.0im
1,4,4,2,4,2,1,1,1,1,0.9999999999999998 + 0.0im
1,4,4,3,4,3,1,1,1,1,0.9999999999999998 + 0.0im
1,4,4,4,4,4,1,1,1,1,0.9999999999999991 + 0.0im
1,4,4,4,4,4,1,2,2,1,0.9999999999999997 + 0.0im
2,1,1,2,2,1,1,1,1,1,1.0 + 0.0im
2,1,2,3,2,2,1,1,1,1,1.0 + 0.0im
2,1,3,1,2,3,1,1,1,1,1.0 + 0.0im
2,1,4,4,2,4,1,1,1,1,0.9999999999999997 + 0.0im
2,2,1,3,3,2,1,1,1,1,1.0 + 0.0im
2,2,2,1,3,3,1,1,1,1,1.0 + 0.0im
2,2,3,2,3,1,1,1,1,1,1.0 + 0.0im
2,2,4,4,3,4,1,1,1,1,-0.9999999999999997 + 0.0im
2,3,1,1,1,3,1,1,1,1,1.0 + 0.0im
2,3,2,2,1,1,1,1,1,1,1.0 + 0.0im
2,3,3,3,1,2,1,1,1,1,1.0 + 0.0im
2,3,4,4,1,4,1,1,1,1,0.9999999999999997 + 0.0im
2,4,1,4,4,4,1,1,1,1,0.9999999999999997 + 0.0im
2,4,2,4,4,4,1,1,1,1,0.9999999999999994 + 0.0im
2,4,3,4,4,4,1,1,1,1,0.9999999999999994 + 0.0im
2,4,4,1,4,3,1,1,1,1,0.0 + 0.9999999999999997im
2,4,4,2,4,1,1,1,1,1,0.0 + 0.9999999999999996im
2,4,4,3,4,2,1,1,1,1,0.9999999999999996 + 0.0im
2,4,4,4,4,4,1,1,1,1,-0.4999999999999994 + 0.0im
2,4,4,4,4,4,1,1,2,1,-0.0 - 0.8660254037844378im
2,4,4,4,4,4,1,2,1,1,-0.0 - 0.8660254037844378im
2,4,4,4,4,4,1,2,2,1,-0.4999999999999997 + 0.0im
3,1,1,3,3,1,1,1,1,1,1.0 + 0.0im
3,1,2,1,3,2,1,1,1,1,1.0 + 0.0im
3,1,3,2,3,3,1,1,1,1,1.0 + 0.0im
3,1,4,4,3,4,1,1,1,1,0.9999999999999999 + 0.0im
3,2,1,1,1,2,1,1,1,1,1.0 + 0.0im
3,2,2,2,1,3,1,1,1,1,1.0 + 0.0im
3,2,3,3,1,1,1,1,1,1,1.0 + 0.0im
3,2,4,4,1,4,1,1,1,1,0.9999999999999997 + 0.0im
3,3,1,2,2,3,1,1,1,1,1.0 + 0.0im
3,3,2,3,2,1,1,1,1,1,1.0 + 0.0im
3,3,3,1,2,2,1,1,1,1,1.0 + 0.0im
3,3,4,4,2,4,1,1,1,1,-0.9999999999999997 + 0.0im
3,4,1,4,4,4,1,1,1,1,0.9999999999999999 + 0.0im
3,4,2,4,4,4,1,1,1,1,0.9999999999999994 + 0.0im
3,4,3,4,4,4,1,1,1,1,0.9999999999999997 + 0.0im
3,4,4,1,4,2,1,1,1,1,-0.0 - 0.9999999999999998im
3,4,4,2,4,3,1,1,1,1,0.9999999999999998 + 0.0im
3,4,4,3,4,1,1,1,1,1,-0.0 - 0.9999999999999997im
3,4,4,4,4,4,1,1,1,1,-0.4999999999999995 + 0.0im
3,4,4,4,4,4,1,1,2,1,0.0 + 0.866025403784438im
3,4,4,4,4,4,1,2,1,1,0.0 + 0.866025403784438im
3,4,4,4,4,4,1,2,2,1,-0.4999999999999998 + 0.0im
4,1,1,4,4,1,1,1,1,1,1.0 + 0.0im
4,1,2,4,4,2,1,1,1,1,0.9999999999999997 + 0.0im
4,1,3,4,4,3,1,1,1,1,0.9999999999999999 + 0.0im
4,1,4,1,4,4,1,1,1,1,0.9999999999999998 + 0.0im
4,1,4,2,4,4,1,1,1,1,0.9999999999999998 + 0.0im
4,1,4,3,4,4,1,1,1,1,0.9999999999999998 + 0.0im
4,1,4,4,4,4,1,1,1,1,0.9999999999999991 + 0.0im
4,1,4,4,4,4,1,2,1,2,0.9999999999999997 + 0.0im
4,2,1,4,4,2,1,1,1,1,0.9999999999999997 + 0.0im
4,2,2,4,4,3,1,1,1,1,-0.9999999999999996 + 0.0im
4,2,3,4,4,1,1,1,1,1,0.9999999999999997 + 0.0im
4,2,4,1,4,4,1,1,1,1,0.9999999999999996 + 0.0im
4,2,4,2,4,4,1,1,1,1,0.9999999999999996 + 0.0im
4,2,4,3,4,4,1,1,1,1,0.9999999999999993 + 0.0im
