irrep,M1,Y,N2,N1,M2,row,n,m,col,val
1,1,1,1,1,1,1,1,1,1,1.0 + 0.0im
1,1,2,2,1,2,1,1,1,1,1.0 + 0.0im
1,1,3,3,1,3,1,1,1,1,1.0 + 0.0im
1,1,4,4,1,4,1,1,1,1,1.7320508075688767 + 0.0im
1,2,1,2,2,2,1,1,1,1,1.0 + 0.0im
1,2,2,3,2,3,1,1,1,1,1.0 + 0.0im
1,2,3,1,2,1,1,1,1,1,1.0 + 0.0im
1,2,4,4,2,4,1,1,1,1,1.7320508075688763 + 0.0im
1,3,1,3,3,3,1,1,1,1,1.0 + 0.0im
1,3,2,1,3,1,1,1,1,1,1.0 + 0.0im
1,3,3,2,3,2,1,1,1,1,1.0 + 0.0im
1,3,4,4,3,4,1,1,1,1,1.7320508075688767 + 0.0im
1,4,1,4,4,4,1,1,1,1,0.9999999999999997 + 0.0im
1,4,2,4,4,4,1,1,1,1,0.9999999999999992 + 0.0im
1,4,3,4,4,4,1,1,1,1,0.9999999999999994 + 0.0im
1,4,4,1,4,1,1,1,1,1,0.5773502691896256 + 0.0im
1,4,4,2,4,2,1,1,1,1,0.5773502691896256 + 0.0im
1,4,4,3,4,3,1,1,1,1,0.5773502691896256 + 0.0im
1,4,4,4,4,4,1,1,1,1,0.9999999999999983 + 0.0im
1,4,4,4,4,4,1,2,2,1,0.9999999999999992 + 0.0im
2,1,1,3,3,1,1,1,1,1,1.0 + 0.0im
2,1,2,1,3,2,1,1,1,1,1.0 + 0.0im
2,1,3,2,3,3,1,1,1,1,1.0 + 0.0im
2,1,4,4,3,4,1,1,1,1,0.0 - 1.7320508075688767im
2,2,1,1,1,2,1,1,1,1,1.0 + 0.0im
2,2,2,2,1,3,1,1,1,1,1.0 + 0.0im
2,2,3,3,1,1,1,1,1,1,1.0 + 0.0im
2,2,4,4,1,4,1,1,1,1,0.0 - 1.7320508075688763im
2,3,1,2,2,3,1,1,1,1,1.0 + 0.0im
2,3,2,3,2,1,1,1,1,1,1.0 + 0.0im
2,3,3,1,2,2,1,1,1,1,1.0 + 0.0im
2,3,4,4,2,4,1,1,1,1,0.0 + 1.7320508075688765im
2,4,1,4,4,4,1,1,1,1,0.9999999999999997 + 0.0im
2,4,2,4,4,4,1,1,1,1,0.9999999999999992 + 0.0im
2,4,3,4,4,4,1,1,1,1,0.9999999999999994 + 0.0im
2,4,4,1,4,2,1,1,1,1,0.5773502691896256 + 0.0im
2,4,4,2,4,3,1,1,1,1,0.0 + 0.5773502691896256im
2,4,4,3,4,1,1,1,1,1,0.5773502691896256 + 0.0im
2,4,4,4,4,4,1,1,1,1,-0.49999999999999906 + 0.0im
2,4,4,4,4,4,1,1,2,1,0.0 + 0.8660254037844373im
2,4,4,4,4,4,1,2,1,1,0.0 + 0.8660254037844377im
2,4,4,4,4,4,1,2,2,1,-0.4999999999999995 + 0.0im
3,1,1,2,2,1,1,1,1,1,1.0 + 0.0im
3,1,2,3,2,2,1,1,1,1,1.0 + 0.0im
3,1,3,1,2,3,1,1,1,1,1.0 + 0.0im
3,1,4,4,2,4,1,1,1,1,0.0 + 1.7320508075688765im
3,2,1,3,3,2,1,1,1,1,1.0 + 0.0im
3,2,2,1,3,3,1,1,1,1,1.0 + 0.0im
3,2,3,2,3,1,1,1,1,1,1.0 + 0.0im
3,2,4,4,3,4,1,1,1,1,0.0 - 1.7320508075688763im
3,3,1,1,1,3,1,1,1,1,1.0 + 0.0im
3,3,2,2,1,1,1,1,1,1,1.0 + 0.0im
3,3,3,3,1,2,1,1,1,1,1.0 + 0.0im
3,3,4,4,1,4,1,1,1,1,0.0 + 1.7320508075688765im
3,4,1,4,4,4,1,1,1,1,0.9999999999999997 + 0.0im
3,4,2,4,4,4,1,1,1,1,0.9999999999999989 + 0.0im
3,4,3,4,4,4,1,1,1,1,0.9999999999999993 + 0.0im
3,4,4,1,4,3,1,1,1,1,0.5773502691896256 + 0.0im
3,4,4,2,4,1,1,1,1,1,0.5773502691896256 + 0.0im
3,4,4,3,4,2,1,1,1,1,0.0 - 0.5773502691896256im
3,4,4,4,4,4,1,1,1,1,-0.49999999999999906 + 0.0im
3,4,4,4,4,4,1,1,2,1,0.0 - 0.8660254037844373im
3,4,4,4,4,4,1,2,1,1,0.0 - 0.8660254037844377im
3,4,4,4,4,4,1,2,2,1,-0.4999999999999995 + 0.0im
4,1,1,4,4,1,1,1,1,1,0.9999999999999998 + 0.0im
4,1,2,4,4,2,1,1,1,1,0.9999999999999993 + 0.0im
4,1,3,4,4,3,1,1,1,1,0.9999999999999997 + 0.0im
4,1,4,1,4,4,1,1,1,1,0.5773502691896257 + 0.0im
4,1,4,2,4,4,1,1,1,1,0.0 + 0.5773502691896256im
4,1,4,3,4,4,1,1,1,1,0.0 - 0.5773502691896256im
4,1,4,4,4,4,1,1,1,1,-0.8472402379962911 + 0.0im
4,1,4,4,4,4,1,1,1,2,-0.5312099200127807 + 0.0im
4,1,4,4,4,4,1,2,1,1,-0.5312099200127812 + 0.0im
4,1,4,4,4,4,1,2,1,2,0.8472402379962919 + 0.0im
4,2,1,4,4,2,1,1,1,1,0.9999999999999996 + 0.0im
4,2,2,4,4,3,1,1,1,1,-0.9999999999999993 + 0.0im
4,2,3,4,4,1,1,1,1,1,0.9999999999999994 + 0.0im
