i,j,k,d_a,d_b,d_c
1,1,1,1,1,1
1,1,6,1,1,1
1,1,11,1,1,1
1,1,16,1,1,1
1,6,1,1,1,1
1,6,6,1,1,1
1,6,11,1,1,1
1,6,16,1,1,1
1,11,1,1,1,1
1,11,6,1,1,1
1,11,11,1,1,1
1,11,16,1,1,1
1,16,1,1,1,1
1,16,6,1,1,1
1,16,11,1,1,1
1,16,16,1,7,1
2,2,2,1,1,1
2,2,7,1,1,1
2,2,9,1,1,1
2,2,16,1,1,1
2,7,2,1,1,1
2,7,7,1,1,1
2,7,9,1,1,1
2,7,16,1,1,1
2,9,2,1,1,1
2,9,7,1,1,1
2,9,9,1,1,1
2,9,16,1,1,1
2,16,2,1,1,1
2,16,7,1,1,1
2,16,9,1,1,1
2,16,16,1,7,1
3,3,3,1,1,1
3,3,5,1,1,1
3,3,10,1,1,1
3,3,16,1,1,1
3,5,3,1,1,1
3,5,5,1,1,1
3,5,10,1,1,1
3,5,16,1,1,1
3,10,3,1,1,1
3,10,5,1,1,1
3,10,10,1,1,1
3,10,16,1,1,1
3,16,3,1,1,1
3,16,5,1,1,1
3,16,10,1,1,1
3,16,16,1,7,1
4,4,4,1,1,1
4,4,8,1,1,1
4,4,12,1,1,1
4,4,13,1,1,1
4,4,14,1,1,1
4,4,15,1,1,1
4,4,16,1,2,2
4,8,4,1,1,1
4,8,8,1,1,1
4,8,12,1,1,1
4,8,13,1,1,1
4,8,14,1,1,1
4,8,15,1,1,1
4,8,16,1,2,2
4,12,4,1,1,1
4,12,8,1,1,1
4,12,12,1,1,1
4,12,13,1,1,1
4,12,14,1,1,1
4,12,15,1,1,1
4,12,16,1,2,2
4,13,4,1,1,1
4,13,8,1,1,1
4,13,12,1,1,1
4,13,13,1,1,1
4,13,14,1,1,1
4,13,15,1,1,1
4,13,16,1,2,2
4,14,4,1,1,1
4,14,8,1,1,1
4,14,12,1,1,1
4,14,13,1,1,1
4,14,14,1,1,1
4,14,15,1,1,1
4,14,16,1,2,2
4,15,4,1,1,1
4,15,8,1,1,1
4,15,12,1,1,1
4,15,13,1,1,1
4,15,14,1,1,1
4,15,15,1,1,1
4,15,16,1,2,2
4,16,4,2,2,1
4,16,8,2,2,1
4,16,12,2,2,1
4,16,13,2,2,1
4,16,14,2,2,1
4,16,15,2,2,1
4,16,16,2,7,2
5,3,3,1,1,1
5,3,5,1,1,1
5,3,10,1,1,1
5,3,16,1,1,1
5,5,3,1,1,1
5,5,5,1,1,1
5,5,10,1,1,1
5,5,16,1,1,1
5,10,3,1,1,1
5,10,5,1,1,1
5,10,10,1,1,1
5,10,16,1,1,1
5,16,3,1,1,1
5,16,5,1,1,1
5,16,10,1,1,1
5,16,16,1,7,1
6,1,1,1,1,1
6,1,6,1,1,1
6,1,11,1,1,1
6,1,16,1,1,1
6,6,1,1,1,1
6,6,6,1,1,1
6,6,11,1,1,1
6,6,16,1,1,1
6,11,1,1,1,1
6,11,6,1,1,1
6,11,11,1,1,1
6,11,16,1,1,1
6,16,1,1,1,1
6,16,6,1,1,1
6,16,11,1,1,1
6,16,16,1,7,1
7,2,2,1,1,1
7,2,7,1,1,1
7,2,9,1,1,1
7,2,16,1,1,1
7,7,2,1,1,1
7,7,7,1,1,1
7,7,9,1,1,1
7,7,16,1,1,1
7,9,2,1,1,1
7,9,7,1,1,1
7,9,9,1,1,1
7,9,16,1,1,1
7,16,2,1,1,1
7,16,7,1,1,1
7,16,9,1,1,1
7,16,16,1,7,1
8,4,4,1,1,1
8,4,8,1,1,1
8,4,12,1,1,1
8,4,13,1,1,1
8,4,14,1,1,1
8,4,15,1,1,1
8,4,16,1,2,2
8,8,4,1,1,1
8,8,8,1,1,1
8,8,12,1,1,1
8,8,13,1,1,1
8,8,14,1,1,1
8,8,15,1,1,1
8,8,16,1,2,2
8,12,4,1,1,1
8,12,8,1,1,1
8,12,12,1,1,1
8,12,13,1,1,1
8,12,14,1,1,1
8,12,15,1,1,1
8,12,16,1,2,2
8,13,4,1,1,1
8,13,8,1,1,1
8,13,12,1,1,1
8,13,13,1,1,1
8,13,14,1,1,1
8,13,15,1,1,1
8,13,16,1,2,2
8,14,4,1,1,1
8,14,8,1,1,1
8,14,12,1,1,1
8,14,13,1,1,1
8,14,14,1,1,1
8,14,15,1,1,1
8,14,16,1,2,2
8,15,4,1,1,1
8,15,8,1,1,1
8,15,12,1,1,1
8,15,13,1,1,1
8,15,14,1,1,1
8,15,15,1,1,1
8,15,16,1,2,2
8,16,4,2,2,1
8,16,8,2,2,1
8,16,12,2,2,1
8,16,13,2,2,1
8,16,14,2,2,1
8,16,15,2,2,1
8,16,16,2,7,2
9,2,2,1,1,1
9,2,7,1,1,1
9,2,9,1,1,1
9,2,16,1,1,1
9,7,2,1,1,1
9,7,7,1,1,1
9,7,9,1,1,1
9,7,16,1,1,1
9,9,2,1,1,1
9,9,7,1,1,1
9,9,9,1,1,1
9,9,16,1,1,1
9,16,2,1,1,1
9,16,7,1,1,1
9,16,9,1,1,1
9,16,16,1,7,1
10,3,3,1,1,1
10,3,5,1,1,1
10,3,10,1,1,1
10,3,16,1,1,1
10,5,3,1,1,1
10,5,5,1,1,1
10,5,10,1,1,1
10,5,16,1,1,1
10,10,3,1,1,1
10,10,5,1,1,1
10,10,10,1,1,1
10,10,16,1,1,1
10,16,3,1,1,1
10,16,5,1,1,1
10,16,10,1,1,1
10,16,16,1,7,1
11,1,1,1,1,1
11,1,6,1,1,1
11,1,11,1,1,1
11,1,16,1,1,1
11,6,1,1,1,1
11,6,6,1,1,1
11,6,11,1,1,1
11,6,16,1,1,1
11,11,1,1,1,1
11,11,6,1,1,1
11,11,11,1,1,1
11,11,16,1,1,1
11,16,1,1,1,1
11,16,6,1,1,1
11,16,11,1,1,1
11,16,16,1,7,1
12,4,4,1,1,1
12,4,8,1,1,1
12,4,12,1,1,1
12,4,13,1,1,1
12,4,14,1,1,1
12,4,15,1,1,1
12,4,16,1,2,2
12,8,4,1,1,1
12,8,8,1,1,1
12,8,12,1,1,1
12,8,13,1,1,1
12,8,14,1,1,1
12,8,15,1,1,1
12,8,16,1,2,2
12,12,4,1,1,1
12,12,8,1,1,1
12,12,12,1,1,1
12,12,13,1,1,1
12,12,14,1,1,1
12,12,15,1,1,1
12,12,16,1,2,2
12,13,4,1,1,1
12,13,8,1,1,1
12,13,12,1,1,1
12,13,13,1,1,1
12,13,14,1,1,1
12,13,15,1,1,1
12,13,16,1,2,2
12,14,4,1,1,1
12,14,8,1,1,1
12,14,12,1,1,1
12,14,13,1,1,1
12,14,14,1,1,1
12,14,15,1,1,1
12,14,16,1,2,2
12,15,4,1,1,1
12,15,8,1,1,1
12,15,12,1,1,1
12,15,13,1,1,1
12,15,14,1,1,1
12,15,15,1,1,1
12,15,16,1,2,2
12,16,4,2,2,1
12,16,8,2,2,1
12,16,12,2,2,1
12,16,13,2,2,1
12,16,14,2,2,1
12,16,15,2,2,1
12,16,16,2,7,2
13,4,4,1,1,1
13,4,8,1,1,1
13,4,12,1,1,1
13,4,13,1,1,1
13,4,14,1,1,1
13,4,15,1,1,1
13,4,16,1,2,2
13,8,4,1,1,1
13,8,8,1,1,1
13,8,12,1,1,1
13,8,13,1,1,1
13,8,14,1,1,1
13,8,15,1,1,1
13,8,16,1,2,2
13,12,4,1,1,1
13,12,8,1,1,1
13,12,12,1,1,1
13,12,13,1,1,1
13,12,14,1,1,1
13,12,15,1,1,1
13,12,16,1,2,2
13,13,4,1,1,1
13,13,8,1,1,1
13,13,12,1,1,1
13,13,13,1,1,1
13,13,14,1,1,1
13,13,15,1,1,1
13,13,16,1,2,2
13,14,4,1,1,1
13,14,8,1,1,1
13,14,12,1,1,1
13,14,13,1,1,1
13,14,14,1,1,1
13,14,15,1,1,1
13,14,16,1,2,2
13,15,4,1,1,1
13,15,8,1,1,1
13,15,12,1,1,1
13,15,13,1,1,1
13,15,14,1,1,1
13,15,15,1,1,1
13,15,16,1,2,2
