i,j,k,a,b,c,val
1,1,1,1,1,1,1.0 + 0.0im
1,1,6,1,1,1,1.0 + 0.0im
1,1,11,1,1,1,1.0 + 0.0im
1,1,16,1,1,1,1.0 + 0.0im
1,6,1,1,1,1,1.0 + 0.0im
1,6,6,1,1,1,1.0 + 0.0im
1,6,11,1,1,1,1.0 + 0.0im
1,6,16,1,1,1,0.9999999999999994 + 0.0im
1,11,1,1,1,1,1.0 + 0.0im
1,11,6,1,1,1,1.0 + 0.0im
1,11,11,1,1,1,1.0 + 0.0im
1,11,16,1,1,1,0.9999999999999998 + 0.0im
1,16,1,1,1,1,2.9999999999999987 + 0.0im
1,16,6,1,1,1,2.9999999999999987 + 0.0im
1,16,11,1,1,1,2.9999999999999987 + 0.0im
1,16,16,1,1,1,1.0 + 0.0im
1,16,16,1,2,1,0.9999999999999994 + 0.0im
1,16,16,1,3,1,0.9999999999999998 + 0.0im
1,16,16,1,4,1,1.732050807568874 + 0.0im
1,16,16,1,7,1,1.7320508075688763 + 0.0im
2,2,2,1,1,1,1.0 + 0.0im
2,2,7,1,1,1,1.0 + 0.0im
2,2,9,1,1,1,1.0 + 0.0im
2,2,16,1,1,1,0.9999999999999997 + 0.0im
2,7,2,1,1,1,1.0 + 0.0im
2,7,7,1,1,1,1.0 + 0.0im
2,7,9,1,1,1,1.0 + 0.0im
2,7,16,1,1,1,-0.9999999999999994 - 0.0im
2,9,2,1,1,1,1.0 + 0.0im
2,9,7,1,1,1,1.0 + 0.0im
2,9,9,1,1,1,1.0 + 0.0im
2,9,16,1,1,1,0.9999999999999997 + 0.0im
2,16,2,1,1,1,0.0 - 2.999999999999998im
2,16,7,1,1,1,2.999999999999998 + 0.0im
2,16,9,1,1,1,0.0 - 2.9999999999999982im
2,16,16,1,1,1,0.9999999999999997 + 0.0im
2,16,16,1,2,1,0.9999999999999992 + 0.0im
2,16,16,1,3,1,0.9999999999999994 + 0.0im
2,16,16,1,4,1,-0.8660254037844368 - 0.0im
2,16,16,1,5,1,-0.0 + 1.4999999999999971im
2,16,16,1,6,1,-0.0 + 1.4999999999999982im
2,16,16,1,7,1,-0.8660254037844378 - 0.0im
3,3,3,1,1,1,1.0 + 0.0im
3,3,5,1,1,1,1.0 + 0.0im
3,3,10,1,1,1,1.0 + 0.0im
3,3,16,1,1,1,1.0 + 0.0im
3,5,3,1,1,1,1.0 + 0.0im
3,5,5,1,1,1,1.0 + 0.0im
3,5,10,1,1,1,1.0 + 0.0im
3,5,16,1,1,1,0.9999999999999994 + 0.0im
3,10,3,1,1,1,1.0 + 0.0im
3,10,5,1,1,1,1.0 + 0.0im
