i,j,k,a,b,c,val
1,1,1,1,1,1,1.0 + 0.0im
1,1,1,1,2,2,0.9999999999999999 + 0.0im
1,1,1,2,1,2,0.9999999999999999 + 0.0im
1,1,1,2,2,1,1.0000000000000007 + 0.0im
1,1,1,2,2,2,0.9999999999999994 + 0.0im
1,1,2,1,1,1,0.9999999999999999 - 2.46519032881566e-32im
1,1,2,2,1,1,-0.6180339887498938 - 1.3723111286221149e-16im
1,1,3,1,1,1,0.9999999999999999 + 2.46519032881566e-32im
1,1,3,2,1,1,-0.6180339887498938 + 1.3723111286221149e-16im
1,1,4,1,1,1,1.0 + 0.0im
1,1,4,1,2,2,1.0 + 0.0im
1,1,4,1,3,3,0.9999999999999999 + 0.0im
1,1,4,2,1,2,0.6180339887498952 + 0.0im
1,1,4,2,1,3,0.7861513777574228 + 0.0im
1,1,4,2,2,1,0.6180339887498952 + 0.0im
1,1,4,2,2,3,0.7861513777574228 + 0.0im
1,1,4,2,3,1,0.7861513777574238 + 0.0im
1,1,4,2,3,2,0.7861513777574238 + 0.0im
1,1,4,2,3,3,0.38196601125010404 + 0.0im
1,2,1,1,1,1,-1.272019649514069 - 4.364016802135398e-17im
1,2,1,1,1,2,0.7861513777574219 - 1.475895649734635e-16im
1,2,2,1,1,1,0.9999999999999999 + 0.0im
1,2,2,1,2,1,0.9999999999999994 + 6.861555643110572e-17im
1,2,2,1,3,1,-0.4858682717566454 - 1.6669060909400964e-17im
1,2,3,1,1,1,-0.9999999999999996 - 3.4307778215552914e-17im
1,2,3,1,2,1,-0.9999999999999996 + 3.430777821555287e-17im
1,2,3,1,3,1,-0.4858682717566443 + 1.9909979598622324e-16im
1,2,4,1,1,2,-0.7861513777574233 - 2.6971107111953008e-17im
1,2,4,1,1,3,0.6180339887498938 - 1.160277398465071e-16im
1,2,4,1,2,1,-0.7861513777574233 + 2.6971107111953008e-17im
1,2,4,1,2,3,0.6180339887498948 + 1.1602773984650707e-16im
1,2,4,1,3,1,0.7861513777574238 + 5.3942214223906035e-17im
1,2,4,1,3,3,-0.6180339887498938 + 9.482436683080176e-17im
