i,j,k,a,b,c,val
1,1,1,1,1,1,1.0 + 0.0im
1,1,2,1,1,1,1.0 + 0.0im
1,1,3,1,1,1,1.0 + 0.0im
1,1,4,1,1,1,1.0 + 0.0im
1,1,4,1,2,2,1.0 + 0.0im
1,1,4,1,3,3,1.0 + 0.0im
1,2,1,1,1,1,1.0 + 0.0im
1,2,2,1,1,1,1.0 + 0.0im
1,2,3,1,1,1,1.0 + 0.0im
1,2,4,1,1,1,0.5 + 0.0im
1,2,4,1,1,3,-0.0 - 0.8660254037844382im
1,2,4,1,2,2,-1.0 + 0.0im
1,2,4,1,3,1,-0.0 - 0.8660254037844382im
1,2,4,1,3,3,0.5 + 0.0im
1,3,1,1,1,1,1.0 + 0.0im
1,3,2,1,1,1,1.0 + 0.0im
1,3,3,1,1,1,1.0 + 0.0im
1,3,4,1,1,1,0.5 + 0.0im
1,3,4,1,1,3,0.0 + 0.8660254037844392im
1,3,4,1,2,2,-1.0 + 0.0im
1,3,4,1,3,1,0.0 + 0.8660254037844392im
1,3,4,1,3,3,0.5 + 0.0im
1,4,1,1,3,1,1.7320508075688776 + 0.0im
1,4,1,2,2,1,-1.7320508075688776 + 0.0im
1,4,1,3,1,1,1.7320508075688776 + 0.0im
1,4,2,1,1,1,1.4999999999999998 + 0.0im
1,4,2,1,3,1,-0.0 - 0.8660254037844388im
1,4,2,2,2,1,-0.0 - 1.7320508075688776im
1,4,2,3,1,1,-0.0 - 0.8660254037844388im
1,4,2,3,3,1,1.4999999999999998 + 0.0im
1,4,3,1,1,1,1.4999999999999998 + 0.0im
1,4,3,1,3,1,0.0 + 0.8660254037844388im
1,4,3,2,2,1,0.0 + 1.7320508075688776im
1,4,3,3,1,1,0.0 + 0.8660254037844388im
1,4,3,3,3,1,1.4999999999999998 + 0.0im
1,4,4,1,1,2,-1.2247448713915872 + 0.0im
1,4,4,1,2,3,1.2247448713915872 + 0.0im
1,4,4,1,5,1,1.224744871391588 + 0.0im
1,4,4,1,6,2,1.224744871391588 + 0.0im
1,4,4,1,7,1,0.5 + 0.0im
1,4,4,1,7,3,-0.0 - 0.8660254037844382im
1,4,4,1,8,1,1.0 + 0.0im
1,4,4,1,9,1,0.5 + 0.0im
1,4,4,1,9,3,0.0 + 0.8660254037844392im
1,4,4,2,1,3,1.2247448713915872 + 0.0im
1,4,4,2,3,1,-1.2247448713915872 + 0.0im
1,4,4,2,4,1,-1.224744871391588 + 0.0im
1,4,4,2,6,3,1.224744871391588 + 0.0im
1,4,4,2,7,2,-1.0 + 0.0im
1,4,4,2,8,2,1.0 + 0.0im
1,4,4,2,9,2,-1.0 + 0.0im
1,4,4,3,2,1,-1.2247448713915872 + 0.0im
1,4,4,3,3,2,1.2247448713915872 + 0.0im
1,4,4,3,4,2,-1.224744871391588 + 0.0im
1,4,4,3,5,3,-1.224744871391588 + 0.0im
1,4,4,3,7,1,-0.0 - 0.8660254037844382im
1,4,4,3,7,3,0.5 + 0.0im
1,4,4,3,8,3,1.0 + 0.0im
1,4,4,3,9,1,0.0 + 0.8660254037844392im
1,4,4,3,9,3,0.5 + 0.0im
2,1,1,1,1,1,1.0 + 0.0im
2,1,2,1,1,1,1.0 + 0.0im
2,1,3,1,1,1,1.0 + 0.0im
2,1,4,1,1,1,0.5 + 0.0im
2,1,4,1,1,3,0.0 + 0.8660254037844392im
2,1,4,1,2,2,-1.0 + 0.0im
2,1,4,1,3,1,0.0 + 0.8660254037844392im
2,1,4,1,3,3,0.5 + 0.0im
2,2,1,1,1,1,1.0 + 0.0im
2,2,2,1,1,1,1.0 + 0.0im
2,2,3,1,1,1,1.0 + 0.0im
2,2,4,1,1,1,1.0 + 0.0im
2,2,4,1,2,2,1.0 + 0.0im
2,2,4,1,3,3,1.0 + 0.0im
2,3,1,1,1,1,1.0 + 0.0im
2,3,2,1,1,1,1.0 + 0.0im
2,3,3,1,1,1,1.0 + 0.0im
2,3,4,1,1,1,-0.5 - 0.0im
2,3,4,1,1,3,0.0 + 0.8660254037844382im
2,3,4,1,2,2,1.0 + 0.0im
2,3,4,1,3,1,0.0 + 0.8660254037844382im
2,3,4,1,3,3,-0.5 - 0.0im
2,4,1,1,1,1,0.0 - 1.4999999999999998im
2,4,1,1,3,1,0.8660254037844388 + 0.0im
2,4,1,2,2,1,1.7320508075688776 + 0.0im
